employee_id,department_id,from_date,to_date
10019,d008,1999-04-30,9999-01-01
10024,d004,1998-06-14,9999-01-01
10093,d007,1997-06-08,9999-01-01
10105,d003,1999-05-17,2001-06-11
10120,d004,1996-07-06,9999-01-01
10139,d005,1998-03-15,9999-01-01
10183,d009,1996-08-11,9999-01-01
10199,d007,1998-02-07,9999-01-01
10218,d004,1997-01-31,9999-01-01
10236,d007,1996-08-30,9999-01-01
10240,d006,1998-10-06,9999-01-01
10264,d005,1997-07-16,9999-01-01
10267,d004,1997-04-26,9999-01-01
10284,d004,1999-07-06,9999-01-01
10298,d004,2002-05-05,9999-01-01
10298,d008,1999-04-27,2002-05-05
10334,d009,1998-02-15,9999-01-01
10360,d003,1996-09-04,9999-01-01
10373,d005,1997-04-26,9999-01-01
10379,d005,1996-07-15,9999-01-01
10408,d007,1998-10-07,9999-01-01
10409,d005,1997-09-26,9999-01-01
10423,d008,1999-05-27,9999-01-01
10459,d002,1998-06-14,9999-01-01
10459,d003,1997-06-28,1998-06-14
10472,d007,1999-12-01,2002-01-02
10500,d005,1996-12-16,9999-01-01
10506,d005,1996-12-01,9999-01-01
10537,d007,1996-09-25,9999-01-01
10543,d002,1998-11-24,9999-01-01
10552,d004,1998-08-31,9999-01-01
10562,d005,1997-07-24,9999-01-01
10626,d003,1996-12-03,9999-01-01
10649,d009,1998-06-23,9999-01-01
10677,d005,1999-10-13,9999-01-01
10684,d004,1999-10-28,9999-01-01
10697,d009,1999-08-29,9999-01-01
10714,d005,1999-11-24,9999-01-01
10766,d003,1999-09-18,9999-01-01
10811,d004,1997-07-08,9999-01-01
10827,d002,1996-11-07,9999-01-01
10854,d005,1998-07-13,9999-01-01
10858,d005,1997-01-01,9999-01-01
10914,d007,1998-03-24,1998-09-01
10916,d004,1998-10-02,9999-01-01
10916,d005,1998-03-12,1998-10-02
10948,d005,1996-09-30,1997-04-29
10948,d008,1997-04-29,1997-06-23
10995,d001,1997-07-19,9999-01-01
11002,d007,1998-11-21,2001-12-07
11013,d005,1999-12-03,9999-01-01
11057,d007,1996-07-12,9999-01-01
11075,d004,1998-05-06,9999-01-01
11107,d006,1999-09-09,9999-01-01
11115,d004,1999-01-13,9999-01-01
11168,d007,1996-07-15,9999-01-01
11177,d005,1999-09-11,9999-01-01
11209,d004,1999-04-25,2000-02-08
11209,d009,2000-02-08,9999-01-01
11213,d004,1999-02-04,9999-01-01
11241,d007,1999-01-27,2002-02-27
11248,d007,1997-02-03,1999-07-19
11254,d007,1998-12-19,9999-01-01
11285,d002,1999-11-23,9999-01-01
11306,d007,1996-11-20,9999-01-01
11315,d007,2000-01-18,2002-01-17
11316,d005,1997-07-18,9999-01-01
11325,d005,1999-01-10,9999-01-01
11336,d004,1998-09-01,2001-04-14
11342,d009,1998-02-03,2000-03-19
11351,d004,1998-11-20,2000-01-30
11387,d004,1997-05-11,1997-12-13
11392,d002,1999-04-21,9999-01-01
11396,d005,1997-02-04,9999-01-01
11409,d004,1998-09-01,1999-08-04
11409,d009,1997-12-28,1998-09-01
11410,d005,1999-10-25,9999-01-01
11445,d005,1997-06-11,2001-02-23
11456,d004,2002-01-24,9999-01-01
11456,d005,1999-03-20,2002-01-24
11475,d002,1998-09-14,9999-01-01
11479,d002,1999-02-10,9999-01-01
11510,d003,1998-12-29,2001-04-01
11550,d004,1997-12-16,9999-01-01
11557,d007,1998-12-17,2001-09-28
11558,d004,1996-09-18,9999-01-01
11586,d007,1997-09-09,9999-01-01
11590,d005,1997-06-26,9999-01-01
11630,d008,1999-06-03,1999-08-24
11690,d003,1997-09-23,9999-01-01
11697,d005,1999-12-10,9999-01-01
11718,d007,1998-01-01,9999-01-01
11722,d004,1997-12-18,9999-01-01
11730,d007,1997-11-13,9999-01-01
11754,d008,1999-11-06,9999-01-01
11756,d005,1999-11-26,9999-01-01
11763,d005,1997-04-18,9999-01-01
11774,d004,1998-11-26,9999-01-01
11829,d004,1999-10-11,9999-01-01
11869,d004,1996-08-12,9999-01-01
11873,d001,1998-11-14,2000-07-06
11873,d007,2000-07-06,9999-01-01
11884,d007,1998-06-18,9999-01-01
11889,d005,1996-12-25,9999-01-01
11926,d004,1998-09-18,9999-01-01
11935,d001,1997-07-20,2000-08-22
11940,d005,1996-11-02,9999-01-01
11961,d007,1997-06-26,9999-01-01
12015,d008,1999-11-16,9999-01-01
12024,d003,1997-11-03,9999-01-01
12090,d004,1999-10-03,9999-01-01
12104,d004,1997-06-12,2002-02-08
12117,d005,1999-12-02,2002-06-23
12117,d006,1999-02-01,1999-12-02
12140,d003,1996-11-15,9999-01-01
12187,d001,1998-09-22,9999-01-01
12196,d004,1999-08-22,9999-01-01
12226,d005,1997-02-07,2002-05-30
12226,d008,2002-05-30,9999-01-01
12235,d007,1997-07-10,9999-01-01
12239,d008,1999-11-20,9999-01-01
12259,d007,1998-05-26,9999-01-01
12282,d005,1999-10-06,9999-01-01
12299,d005,1999-01-24,9999-01-01
12317,d004,2001-01-21,9999-01-01
12317,d009,1996-08-11,2001-01-21
12321,d007,1999-04-03,9999-01-01
12323,d002,1996-10-24,9999-01-01
12339,d008,1996-07-18,9999-01-01
12364,d004,1998-11-02,9999-01-01
12389,d002,1999-11-02,9999-01-01
12390,d007,1997-07-09,9999-01-01
12452,d004,1997-09-28,9999-01-01
12455,d005,1997-04-06,9999-01-01
12474,d006,1998-11-27,9999-01-01
12495,d001,1999-12-13,9999-01-01
12500,d004,1997-05-11,9999-01-01
12550,d004,1999-05-14,9999-01-01
12562,d001,1997-06-24,9999-01-01
12588,d005,1997-02-08,9999-01-01
12598,d002,1996-10-28,1998-06-27
12598,d007,1998-06-27,9999-01-01
12606,d001,1999-03-13,1999-08-28
12606,d003,1997-09-17,1999-03-13
12614,d001,1997-06-05,1998-03-10
12643,d002,1998-12-31,9999-01-01
12666,d004,1998-04-19,9999-01-01
12670,d004,1999-09-10,9999-01-01
12672,d006,1998-04-02,9999-01-01
12676,d004,1998-04-28,9999-01-01
12712,d004,1998-05-11,2001-11-03
12712,d006,2001-11-03,9999-01-01
12719,d005,1996-11-05,9999-01-01
12740,d008,1998-05-15,9999-01-01
12756,d007,1998-08-12,9999-01-01
12786,d004,1999-12-08,9999-01-01
12788,d005,1999-10-15,9999-01-01
12789,d005,1996-09-24,9999-01-01
12837,d003,1997-03-21,9999-01-01
12878,d006,1997-08-27,9999-01-01
12889,d005,1999-04-28,9999-01-01
12921,d005,1999-10-02,9999-01-01
12921,d009,1997-05-31,1999-10-02
12946,d001,1998-10-07,1999-02-25
13036,d007,1998-04-23,9999-01-01
13064,d004,1997-01-21,1997-06-02
13064,d006,1997-06-02,9999-01-01
13066,d004,1997-09-07,2001-09-12
13111,d005,1997-08-10,9999-01-01
13136,d005,1998-10-19,9999-01-01
13159,d002,1999-08-12,9999-01-01
13189,d008,1999-10-16,9999-01-01
13206,d002,1999-09-06,9999-01-01
13218,d004,1999-03-30,9999-01-01
13218,d005,1999-01-30,1999-03-30
13246,d007,1999-12-31,9999-01-01
13275,d003,1998-05-10,9999-01-01
13309,d004,1997-12-25,9999-01-01
13344,d005,1998-10-17,2000-10-06
13350,d005,1997-09-24,2001-12-20
13357,d004,1999-01-24,9999-01-01
13359,d005,1999-05-29,2001-01-01
13374,d005,1997-08-13,9999-01-01
13378,d005,1998-07-17,9999-01-01
13401,d005,1998-05-10,9999-01-01
13409,d004,1996-07-14,1999-05-20
13469,d005,1999-09-29,1999-12-03
13469,d008,1999-12-03,9999-01-01
13551,d007,1999-02-13,9999-01-01
13564,d007,1999-09-11,2002-01-20
13573,d005,1998-09-26,9999-01-01
13585,d006,1997-06-08,9999-01-01
13591,d005,1999-06-24,9999-01-01
13606,d007,1996-11-04,1999-07-22
13606,d009,1999-07-22,9999-01-01
13613,d004,1996-12-30,2000-08-05
13617,d006,1999-07-24,9999-01-01
13635,d005,1997-09-14,9999-01-01
13700,d007,1998-12-11,9999-01-01
13761,d004,1997-08-09,9999-01-01
13777,d003,1997-11-16,9999-01-01
13785,d007,1998-07-11,9999-01-01
13805,d007,1999-09-09,9999-01-01
13818,d005,1998-04-13,2002-05-15
13819,d004,1999-05-19,9999-01-01
13822,d001,2002-03-28,2002-05-22
13822,d003,1998-11-14,2002-03-28
13839,d005,2000-01-21,9999-01-01
13847,d004,1998-06-02,9999-01-01
13852,d005,1996-12-24,9999-01-01
13898,d007,1997-04-23,9999-01-01
13903,d004,1997-03-24,9999-01-01
13905,d005,1998-06-28,9999-01-01
13913,d004,1997-12-18,9999-01-01
13919,d004,1999-12-04,2001-08-05
13919,d009,2001-08-05,9999-01-01
13932,d002,1997-10-08,9999-01-01
13940,d005,1999-03-31,1999-04-30
