employee_id,title,from_date,to_date
10008,Assistant Engineer,1998-03-11,2000-07-31
10016,Staff,1998-02-11,9999-01-01
10019,Staff,1999-04-30,9999-01-01
10022,Engineer,1999-09-03,9999-01-01
10024,Assistant Engineer,1998-06-14,9999-01-01
10026,Engineer,1995-03-20,2001-03-19
10026,Senior Engineer,2001-03-19,9999-01-01
10030,Engineer,1994-02-17,2001-02-17
10030,Senior Engineer,2001-02-17,9999-01-01
10044,Technique Leader,1994-05-21,9999-01-01
10054,Senior Staff,2000-07-28,9999-01-01
10054,Staff,1995-07-29,2000-07-28
10084,Engineer,1995-12-15,2001-12-14
10084,Senior Engineer,2001-12-14,9999-01-01
10085,Senior Engineer,1994-04-09,9999-01-01
10093,Staff,1997-06-08,9999-01-01
10102,Assistant Engineer,1995-01-02,2002-01-02
10102,Engineer,2002-01-02,9999-01-01
10105,Staff,1999-05-17,2001-06-11
10107,Senior Staff,1999-03-30,9999-01-01
10120,Engineer,1996-07-06,9999-01-01
10131,Engineer,1999-09-17,1999-12-06
10132,Staff,1997-06-18,9999-01-01
10139,Engineer,1998-03-15,9999-01-01
10148,Staff,1996-07-15,9999-01-01
10172,Engineer,1998-02-04,9999-01-01
10176,Senior Staff,1999-12-22,9999-01-01
10176,Staff,1994-12-22,1999-12-22
10183,Staff,1996-08-11,9999-01-01
10196,Staff,1999-01-31,9999-01-01
10199,Staff,1998-02-07,9999-01-01
10210,Senior Staff,2002-02-23,9999-01-01
10210,Staff,1996-02-24,2002-02-23
10218,Senior Engineer,1997-01-31,9999-01-01
10227,Technique Leader,1994-11-01,9999-01-01
10230,Senior Staff,2002-06-16,9999-01-01
10230,Staff,1996-06-16,2002-06-16
10231,Staff,1998-09-09,9999-01-01
10235,Senior Engineer,1995-04-06,9999-01-01
10236,Staff,1996-08-30,9999-01-01
10239,Staff,1996-05-04,9999-01-01
10240,Engineer,1998-10-06,9999-01-01
10263,Staff,1996-12-21,9999-01-01
10264,Engineer,1997-07-16,9999-01-01
10267,Engineer,1997-04-26,9999-01-01
10279,Engineer,1995-04-26,9999-01-01
10281,Engineer,1994-12-03,2000-12-02
10281,Senior Engineer,2000-12-02,9999-01-01
10284,Engineer,1999-07-06,9999-01-01
10285,Staff,1995-05-25,9999-01-01
10288,Technique Leader,1994-08-29,9999-01-01
10294,Senior Engineer,1999-01-30,1999-05-04
10298,Staff,1999-04-27,9999-01-01
10313,Staff,1994-10-10,9999-01-01
10328,Engineer,1998-07-17,9999-01-01
10334,Staff,1998-02-15,9999-01-01
10337,Assistant Engineer,1998-04-25,9999-01-01
10344,Assistant Engineer,1999-04-19,9999-01-01
10348,Technique Leader,1995-10-22,9999-01-01
10352,Engineer,1998-12-16,9999-01-01
10354,Senior Staff,1999-03-03,2002-01-01
10357,Engineer,1994-04-04,1999-04-03
10357,Senior Engineer,1999-04-03,9999-01-01
10360,Staff,1996-09-04,9999-01-01
10366,Engineer,1997-08-15,9999-01-01
10373,Engineer,1997-04-26,9999-01-01
10374,Staff,1993-12-08,1996-03-29
10375,Senior Staff,2001-05-29,9999-01-01
10375,Staff,1994-05-29,2001-05-29
10379,Engineer,1996-07-15,9999-01-01
10388,Staff,1999-05-28,9999-01-01
10389,Technique Leader,1999-05-13,9999-01-01
10408,Staff,1998-10-07,9999-01-01
10409,Engineer,1997-09-26,9999-01-01
10423,Staff,1999-05-27,9999-01-01
10434,Engineer,1995-06-27,2001-06-26
10434,Senior Engineer,2001-06-26,2002-06-22
10437,Engineer,1996-04-12,9999-01-01
10440,Technique Leader,1997-04-04,9999-01-01
10446,Engineer,1996-12-25,9999-01-01
10456,Staff,2000-01-06,9999-01-01
10459,Staff,1997-06-28,9999-01-01
10460,Engineer,1999-06-30,2001-04-15
10462,Senior Engineer,1996-03-25,9999-01-01
10472,Staff,1999-12-01,2002-01-02
10484,Senior Staff,1996-12-20,9999-01-01
10488,Engineer,1994-07-09,2002-07-09
10488,Senior Engineer,2002-07-09,9999-01-01
10500,Engineer,1996-12-16,9999-01-01
10506,Senior Engineer,1996-12-01,9999-01-01
10520,Senior Engineer,1996-09-05,9999-01-01
10527,Technique Leader,1996-01-25,9999-01-01
10537,Senior Staff,1996-09-25,9999-01-01
10540,Engineer,1994-05-03,2002-05-03
10540,Senior Engineer,2002-05-03,9999-01-01
10543,Staff,1998-11-24,9999-01-01
10544,Senior Staff,1995-04-29,9999-01-01
10549,Engineer,1996-10-11,2001-10-11
10549,Senior Engineer,2001-10-11,9999-01-01
10552,Senior Engineer,1998-08-31,9999-01-01
10562,Engineer,1997-07-24,2002-07-24
10562,Senior Engineer,2002-07-24,9999-01-01
10589,Senior Staff,2002-01-26,9999-01-01
10589,Staff,1994-01-26,2002-01-26
10596,Senior Staff,2001-05-23,9999-01-01
10596,Staff,1996-05-23,2001-05-23
10601,Staff,1999-07-24,2002-05-09
10603,Staff,1995-07-20,9999-01-01
10609,Assistant Engineer,1994-12-03,1999-12-03
10609,Engineer,1999-12-03,9999-01-01
10610,Engineer,1997-03-30,9999-01-01
10615,Senior Staff,2002-03-10,9999-01-01
10615,Staff,1996-03-10,2002-03-10
10626,Staff,1996-12-03,9999-01-01
10636,Staff,1996-09-25,9999-01-01
10647,Assistant Engineer,1997-09-03,9999-01-01
10649,Senior Staff,1998-06-23,9999-01-01
10658,Senior Staff,1994-04-29,9999-01-01
10669,Senior Staff,2001-11-17,9999-01-01
10669,Staff,1996-11-17,2001-11-17
10677,Engineer,1999-10-13,9999-01-01
10684,Engineer,1999-10-28,9999-01-01
10697,Staff,1999-08-29,9999-01-01
10698,Senior Engineer,1994-12-08,9999-01-01
10703,Engineer,1996-05-12,2002-05-12
10703,Senior Engineer,2002-05-12,9999-01-01
10708,Staff,1999-11-09,9999-01-01
10712,Engineer,1994-08-18,2001-08-18
10712,Senior Engineer,2001-08-18,9999-01-01
10714,Engineer,1999-11-24,9999-01-01
10715,Engineer,1999-10-28,9999-01-01
10719,Assistant Engineer,1995-09-05,1999-07-31
10721,Staff,1999-07-15,9999-01-01
10733,Senior Staff,2002-02-19,9999-01-01
10733,Staff,1996-02-20,2002-02-19
10740,Engineer,1996-04-30,2002-03-17
10756,Senior Engineer,1997-10-07,9999-01-01
10760,Senior Staff,1997-08-22,9999-01-01
10765,Staff,1994-05-07,1994-05-11
10766,Staff,1999-09-18,9999-01-01
10783,Senior Staff,1999-05-15,9999-01-01
10783,Staff,1994-05-15,1999-05-15
10785,Engineer,1994-11-11,2001-11-11
10785,Senior Engineer,2001-11-11,9999-01-01
10788,Staff,1998-05-29,9999-01-01
10801,Engineer,1998-04-07,2001-01-15
10804,Staff,1997-06-09,9999-01-01
10810,Senior Staff,2000-09-06,9999-01-01
10810,Staff,1994-09-07,2000-09-06
10811,Engineer,1997-07-08,9999-01-01
10815,Senior Staff,2002-04-19,9999-01-01
10815,Staff,1994-04-19,2002-04-19
10818,Staff,1998-04-09,9999-01-01
10823,Staff,1999-08-19,9999-01-01
10827,Staff,1996-11-07,9999-01-01
10831,Technique Leader,1998-02-22,9999-01-01
10846,Senior Engineer,1995-01-17,9999-01-01
10849,Assistant Engineer,1995-06-25,2001-06-24
10849,Engineer,2001-06-24,9999-01-01
10851,Senior Staff,1999-11-21,9999-01-01
10851,Staff,1994-11-21,1999-11-21
10852,Technique Leader,1999-08-21,9999-01-01
10854,Engineer,1998-07-13,9999-01-01
10858,Engineer,1997-01-01,2002-01-01
10858,Senior Engineer,2002-01-01,9999-01-01
10869,Staff,1997-09-04,1998-10-15
10873,Staff,1994-03-23,9999-01-01
10876,Staff,1995-01-29,1999-09-14
10881,Engineer,1997-02-18,1998-10-25
10882,Engineer,1999-04-29,9999-01-01
10886,Engineer,1995-03-26,2000-03-25
10886,Senior Engineer,2000-03-25,9999-01-01
10896,Engineer,1997-11-27,9999-01-01
10900,Senior Engineer,1995-09-07,9999-01-01
10906,Staff,1998-10-18,9999-01-01
10914,Staff,1998-03-24,1998-09-01
10916,Engineer,1998-03-12,9999-01-01
10932,Engineer,1994-09-09,1999-09-09
10932,Senior Engineer,1999-09-09,9999-01-01
10940,Engineer,1997-06-30,1999-12-02
10946,Staff,1996-10-26,9999-01-01
